original_title,original_language,popularity,spoken_languages,genres,production_companies,production_countries
Avatar,en,150.437577,"['English', 'Español']","['Action', 'Adventure', 'Fantasy', 'Science Fiction']","['Ingenious Film Partners', 'Twentieth Century Fox Film Corporation', 'Dune Entertainment', 'Lightstorm Entertainment']","['United States of America', 'United Kingdom']"
Pirates of the Caribbean: At World's End,en,139.082615,['English'],"['Adventure', 'Fantasy', 'Action']","['Walt Disney Pictures', 'Jerry Bruckheimer Films', 'Second Mate Productions']",['United States of America']
Spectre,en,107.376788,"['Français', 'English', 'Español', 'Italiano', 'Deutsch']","['Action', 'Adventure', 'Crime']","['Columbia Pictures', 'Danjaq', 'B24']","['United Kingdom', 'United States of America']"
The Dark Knight Rises,en,112.31295,['English'],"['Action', 'Crime', 'Drama', 'Thriller']","['Legendary Pictures', 'Warner Bros.', 'DC Entertainment', 'Syncopy']",['United States of America']
John Carter,en,43.926995,['English'],"['Action', 'Adventure', 'Science Fiction']",['Walt Disney Pictures'],['United States of America']
Spider-Man 3,en,115.699814,"['English', 'Français']","['Fantasy', 'Action', 'Adventure']","['Columbia Pictures', 'Laura Ziskin Productions', 'Marvel Enterprises']",['United States of America']
Tangled,en,48.681969,['English'],"['Animation', 'Family']","['Walt Disney Pictures', 'Walt Disney Animation Studios']",['United States of America']
Avengers: Age of Ultron,en,134.279229,['English'],"['Action', 'Adventure', 'Science Fiction']","['Marvel Studios', 'Prime Focus', 'Revolution Sun Studios']",['United States of America']
Harry Potter and the Half-Blood Prince,en,98.885637,['English'],"['Adventure', 'Fantasy', 'Family']","['Warner Bros.', 'Heyday Films']","['United Kingdom', 'United States of America']"
Batman v Superman: Dawn of Justice,en,155.790452,['English'],"['Action', 'Adventure', 'Fantasy']","['DC Comics', 'Atlas Entertainment', 'Warner Bros.', 'DC Entertainment', 'Cruel & Unusual Films', 'RatPac-Dune Entertainment']",['United States of America']
Superman Returns,en,57.925623,"['English', 'Français', 'Deutsch']","['Adventure', 'Fantasy', 'Action', 'Science Fiction']","['DC Comics', 'Legendary Pictures', 'Warner Bros.', 'Bad Hat Harry Productions']",['United States of America']
Quantum of Solace,en,107.928811,"['English', 'Español', 'Italiano', 'Français', 'Deutsch']","['Adventure', 'Action', 'Thriller', 'Crime']",['Eon Productions'],"['United Kingdom', 'United States of America']"
Pirates of the Caribbean: Dead Man's Chest,en,145.847379,"['English', 'Türkçe', 'ελληνικά', '普通话']","['Adventure', 'Fantasy', 'Action']","['Walt Disney Pictures', 'Jerry Bruckheimer Films', 'Second Mate Productions']","['Jamaica', 'United States of America', 'Bahamas', 'Dominica']"
The Lone Ranger,en,49.046956,['English'],"['Action', 'Adventure', 'Western']","['Walt Disney Pictures', 'Jerry Bruckheimer Films', 'Infinitum Nihil', 'Silver Bullet Productions (II)', 'Blind Wink Productions', 'Classic Media']",['United States of America']
